layer,rank,feature_idx,direction,correct_mean_act,incorrect_mean_act,correct_freq,incorrect_freq,freq_diff,mean_diff,effect_size,p_value
0,87,27142,confidence,0.7107675480111909,0.7040162660146543,0.8308740068104427,0.8215962441314554,-0.009277762678987278,-0.006751281996536629,-0.02055080922580123,0.9070404537463129
0,88,27393,confidence,0.9028686403416343,0.8985308554250869,0.9443813847900113,0.9530516431924883,0.008670258402476927,-0.004337784916547349,-0.0189373674419629,0.4341705265125253
0,89,1959,uncertainty,1.1215315149942673,1.1239751230383144,0.9988649262202043,1.0,0.0011350737797957144,0.0024436080440470853,0.017873856590567446,0.9556748577171221
0,90,6235,uncertainty,0.05397069373006312,0.057120908034239574,0.0681044267877412,0.07042253521126761,0.0023181084235264077,0.0031502143041764533,0.01545318009957989,0.8733279232600546
0,91,24587,confidence,2.091199793149881,2.0885045354914777,1.0,1.0,0.0,-0.0026952576584031718,-0.015423844471499268,0.8729925621212062
0,92,26093,uncertainty,5.45696876863616,5.4636190665159985,1.0,1.0,0.0,0.006650297879838618,0.0140943861691732,0.665852289127258
0,93,16283,uncertainty,3.127006189506522,3.1285001694316596,1.0,1.0,0.0,0.0014939799251374453,0.012996911394213637,0.9013375428583549
0,94,3685,uncertainty,1.2984926390052518,1.2996804988440214,1.0,1.0,0.0,0.0011878598387695671,0.011710434772017794,0.7816383009231707
0,95,24432,confidence,0.01981515815390631,0.018129700786071203,0.02043132803632236,0.014084507042253521,-0.006346820994068839,-0.0016854573678351074,-0.011475845776169455,0.5587852772266018
0,96,6956,uncertainty,1.5849002249259818,1.5856219317431741,1.0,1.0,0.0,0.0007217068171923025,0.010628165416203487,0.7972674004699271
0,97,23691,confidence,1.1334025741435343,1.132123654717011,1.0,1.0,0.0,-0.0012789194265232506,-0.01035263720432371,0.983226135576204
0,98,28108,uncertainty,1.7437073384727713,1.7446294049142113,1.0,1.0,0.0,0.0009220664414399948,0.00953309032135433,0.8257521659299458
0,99,15215,confidence,1.1619006272206647,1.1599701475089705,0.9920544835414302,0.9906103286384976,-0.0014441549029325929,-0.001930479711694133,-0.008579174005700596,0.9214578212207112
4,0,26661,confidence,4.541245684585831,4.484488255541089,1.0,1.0,0.0,-0.05675742904474124,-0.21937011853414315,0.004443536539151684
4,1,18350,uncertainty,4.646739292361273,4.819654676276193,1.0,1.0,0.0,0.17291538391492,0.19054925117939647,0.02675588809832965
4,2,19310,uncertainty,1.0336289860468852,1.2260195671672551,0.5107832009080591,0.6056338028169014,0.09485060190884231,0.19239058112036989,0.18965557064055227,0.022502700929281978
4,3,12229,confidence,0.40484055528305174,0.2766442354855963,0.20204313280363223,0.14084507042253522,-0.06119806238109701,-0.12819631979745544,-0.16963251252740832,0.03254835991673215
4,4,14128,confidence,0.04447155507549931,0.008270887701724057,0.024971623155505107,0.004694835680751174,-0.020276787474753935,-0.03620066737377525,-0.16893884776961435,0.0643689208953024
4,5,25326,confidence,1.4362999754244299,1.2873711955379432,0.6923950056753689,0.6197183098591549,-0.07267669581621405,-0.14892877988648667,-0.14817179733144645,0.10846651064865152
4,6,31279,confidence,0.24716347137996747,0.16210177414853807,0.13393870601589103,0.0892018779342723,-0.04473682808161873,-0.0850616972314294,-0.14737205386725824,0.07257524354040823
4,7,27634,confidence,0.6998199118929201,0.560858366634924,0.3416572077185017,0.27699530516431925,-0.06466190255418247,-0.1389615452579961,-0.1459643117540578,0.053472942792433635
4,8,15277,confidence,2.759832756879246,2.669320471409901,0.9829738933030647,0.971830985915493,-0.011142907387571732,-0.09051228546934498,-0.14455037101879267,0.05178807636139078
4,9,3018,uncertainty,0.046330208134299375,0.09221302287679323,0.026106696935300794,0.051643192488262914,0.02553649555296212,0.04588281474249385,0.13342027008068688,0.05338998641386023
4,10,11322,confidence,7.456943713847409,7.329685811145764,1.0,1.0,0.0,-0.12725790270164428,-0.1249843939204214,0.059927369638804996
4,11,1174,uncertainty,0.03253847313251993,0.06756572208494088,0.018161180476730987,0.03755868544600939,0.019397504969278404,0.03502724895242095,0.11851136010791272,0.08447128208161862
4,12,30685,uncertainty,0.017002791741378732,0.04251673467842066,0.009080590238365494,0.023474178403755867,0.014393588165390374,0.025513942937041928,0.11035525822559014,0.0837745165901399
4,13,7803,confidence,0.07677335988108605,0.0420656444880884,0.043132803632236094,0.023474178403755867,-0.019658625228480227,-0.03470771539299765,-0.10848915617702587,0.18729625753276014
4,14,30498,confidence,3.7912273268964856,3.77310676977668,1.0,1.0,0.0,-0.018120557119805536,-0.10015282356369973,0.36099173422319375
4,15,16906,confidence,0.17399884636908194,0.12696425903571043,0.08967082860385925,0.06572769953051644,-0.02394312907334281,-0.047034587333371514,-0.09015921869902391,0.27476626971191886
4,16,983,uncertainty,5.304918075122032,5.375004654199305,1.0,1.0,0.0,0.07008657907727311,0.08939418233034176,0.4917523665785064
4,17,25468,confidence,4.813279086967062,4.789360476211763,1.0,1.0,0.0,-0.023918610755298886,-0.08781434627568029,0.23350183300782734
4,18,23545,confidence,0.24482187077352327,0.1979723379645549,0.13507377979568672,0.107981220657277,-0.027092559138409716,-0.046849532808968364,-0.07855748355087422,0.2757218338465862
4,19,7266,uncertainty,0.4105120009650708,0.46609333983049706,0.2224744608399546,0.2535211267605634,0.031046665920608785,0.055581338865426266,0.07068277662085028,0.38574655768059385
4,20,673,uncertainty,0.08738663193857493,0.11765653426658379,0.04540295119182747,0.06103286384976526,0.01562991265793779,0.030269902328008857,0.06968209190715302,0.34360747741315656
4,21,4909,uncertainty,2.693703667124338,2.7157654504820776,1.0,1.0,0.0,0.02206178335773945,0.0694716782777734,0.3983321328139996
4,22,22749,confidence,0.14365721466051462,0.11050286259449704,0.07264472190692395,0.056338028169014086,-0.016306693737909862,-0.03315435206601758,-0.06804528680443368,0.3967861494941085
4,23,22616,uncertainty,3.1085475029658514,3.1337165451945275,0.9988649262202043,1.0,0.0011350737797957144,0.02516904222867611,0.05694534081676698,0.7347542768419425
4,24,20980,uncertainty,0.27399746540861963,0.3040916790984606,0.14755959137343927,0.1643192488262911,0.016759657452851823,0.030094213689840943,0.044635986376291056,0.5500220526110933
